,formula,spacegroup
0,LiH,Fm-3m
1,BeH2,Ibam
2,NaH,Fm-3m
3,NaH,Pm-3m
4,MgH2,P4_2/mnm
5,MgH2,Pbcn
6,MgH2,Pa-3
7,MgH2,Pca2_1
8,MgH2,Pbca
9,MgH2,Pnma
10,MgH2,Fm-3m
11,Mg149H,P-6m2
12,AlH3,Fd-3m
13,AlH3,Cmcm
14,AlH3,R-3c
15,AlH3,Pnnm
16,KH,Fm-3m
17,CaH2,Pnma
18,CaH2,P6_3/mmc
19,CaH2,Cmcm
20,CaH3,Fm-3m
21,ScH2,Fm-3m
22,Sc2H5,Pmmn
23,ScH3,Fm-3m
24,TiH2,I4/mmm
25,TiH2,Fm-3m
26,Ti4H7,P-43m
27,Ti2H3,P4_2/mcm
28,TiH2,P4/nmm
29,Ti4H5,P-42m
30,TiH,P4_2/mmc
31,TiH,Fm-3m
32,TiH2,P4_2/mnm
33,Ti4H3,P-42m
34,Ti2H,Pn-3m
35,TiH,P6_3/mmc
36,VH2,Fm-3m
37,VH,Fm-3m
38,V2H,C2/m
39,V2H,I4_1/amd
40,CrH,Fm-3m
41,CrH2,Fm-3m
42,Mn29H2,Cm
43,FeH,Fm-3m
44,Co4H,P-3m1
45,NiH,Fm-3m
46,Ni2H,R-3m
47,Ni2H,P-3m1
48,RbH,Fm-3m
49,SrH2,Pnma
50,SrH2,P6_3/mmc
51,SrH2,Cmcm
52,SrH3,Fm-3m
53,YH2,Fm-3m
54,Y10H21,P-1
55,YH3,P6_3cm
56,YH3,P-3c1
57,YH3,P6_3/mmc
58,Y3H2,P6_3/mmc
59,Y3H,Pmma
60,ZrH2,I4/mmm
61,ZrH2,Fm-3m
62,ZrH,P4_2/mmc
63,ZrH,I-4m2
64,ZrH3,Pm-3m
65,NbH2,Fm-3m
66,NbH,Cmme
67,HRh,Fm-3m
68,HPd,P6_3mc
69,HPd,Fm-3m
70,H3Pd4,R-3m
71,H4Pd3,P4mm
72,CsH,Fm-3m
73,CsH,Pm-3m
74,BaH2,Pnma
75,BaH2,P6_3/mmc
76,LaH2,Fm-3m
77,La4H9,I4/mmm
78,La2H5,I4_1/amd
79,La2H5,I4_1md
80,LaH3,Fm-3m
81,LaH3,I4/mmm
82,Ce2H5,I4_1/amd
83,CeH2,Fm-3m
84,Ce4H11,I4/mmm
85,CeH3,Fm-3m
86,CeH3,I4/mmm
87,PrH2,Fm-3m
88,PrH3,I4/mmm
89,PrH,P6_3mc
90,NdH2,Fm-3m
91,Nd2H5,I4_1/amd
92,NdH3,P-3c1
93,PmH3,Fm-3m
94,PmH,P6_3mc
95,SmH2,Fm-3m
96,SmH3,P-3c1
97,SmH3,Fm-3m
98,EuH2,Pnma
99,EuH2,P6_3/mmc
100,GdH2,Fm-3m
101,GdH3,P-3c1
102,GdH3,P6_3/mmc
103,TbH2,Fm-3m
104,Tb4H9,I4/mmm
105,TbH3,P-3c1
106,TbH3,P6_3/mmc
107,TbH3,Fm-3m
108,DyH2,Fm-3m
109,DyH3,P-3c1
110,DyH3,P-3m1
111,HoH2,Fm-3m
112,HoH3,P-3c1
113,ErH2,Fm-3m
114,ErH3,P-3c1
115,ErH3,Fm-3m
116,ErH2,P6_3/mmc
117,ErH3,P6_3/mmc
118,ErH,P6_3/mmc
119,ErH,Fm-3m
120,TmH2,Fm-3m
121,TmH3,P-3c1
122,YbH2,Pnma
123,YbH2,P6_3/mmc
124,YbH2,Fm-3m
125,Yb3H8,C2/m
126,YbH3,Fm-3m
127,LuH2,Fm-3m
128,LuH3,P-3c1
129,LuH3,I4/mmm
130,HfH2,I4/mmm
131,HfH3,Pm-3m
132,HfH3,I4/mmm
133,HfH3,P6_3/mmc
134,Ta2H,C222
135,TaH2,Fm-3m
136,Ta2H,P-4m2
137,Ta2H,C2/m
138,AcH2,Fm-3m
139,AcH3,Fm-3m
140,Th4H15,I-43d
141,ThH2,I4/mmm
142,ThH2,Fm-3m
143,ThH3,I4/mmm
144,PaH3,Pm-3n
145,UH3,Pm-3n
146,NpH3,I4/mmm
147,NpH3,P6_3/mmc
148,NpH3,P-3c1
149,NpH2,Fm-3m
150,PuH3,P6_3/mmc
151,PuH2,Fm-3m
152,LiB3,P4/mbm
153,LiB,P6_3/mmc
154,LiB,Pnma
155,LiB,Imma
156,LiC12,P6/mmm
157,LiC6,P6/mmm
158,LiC12,Cmcm
159,Li3N,P6/mmm
160,Li3N,P6_3/mmc
161,LiN3,C2/m
162,Li2N,Fm-3m
163,Li2O,Fm-3m
164,Li2O,Pnma
165,Li2O,P1
166,Li2O2,P6_3/mmc
167,Li2O2,P4/mmm
168,Li2O2,Pm-3m
169,LiO2,Pnnm
170,LiO2,C2/m
171,LiO3,Imm2
172,LiO2,R-3m
173,LiO2,Fm-3m
174,LiO8,Cm
175,LiO8,C2
176,LiO8,C2/m
177,LiO8,P1
178,LiF,Fm-3m
179,LiF,P6_3mc
180,LiF,Pm-3m
181,LiF3,P6_3/mmc
182,LiMg,Pm-3m
183,LiMg,Pmma
184,LiMg2,Cmcm
185,LiMg,P4/mmm
186,LiMg2,I4/mmm
187,LiMg,Imma
188,LiMg,Amm2
189,LiMg2,Amm2
190,LiMg5,Amm2
191,LiMg,Cm
192,LiMg2,C2/m
193,LiMg,C2/m
194,Li2Mg,C2/m
195,Li2Mg,Cm
196,Li3Mg,Imm2
197,Li3Mg5,I4/mmm
198,LiMg,C2
199,LiMg,Cmmm
200,LiMg2,P-62m
201,Li2Mg,Cmcm
202,Li2Mg,R32
203,LiMg,P-6m2
204,Li2Mg,C2/c
205,Li3Mg,I4/mmm
206,LiMg149,P-6m2
207,Li3Mg,Pm-3m
208,Li2Mg,P-62m
209,LiMg2,C2/c
210,LiMg2,R32
211,Li3Mg,P6_3/mmc
212,LiMg3,Fm-3m
213,Li3Mg,Fm-3m
214,LiMg3,P6_3/mmc
215,LiMg5,P-62m
216,LiMg2,P-6m2
217,LiMg3,Imm2
218,LiMg3,I4/mmm
219,Li5Mg,R32
220,Li3Mg,Pmm2
221,Li5Mg,Cm
222,LiMg3,Pm-3m
223,LiMg,R-3m
224,Li5Mg,P-62m
225,LiMg3,P-6m2
226,LiMg2,Cm
227,Li2Mg,P6_3/mmc
228,Li2Mg,Amm2
229,LiMg,P3m1
230,LiMg2,P6_3/mmc
231,LiMg5,Cm
232,Li4Mg,R-3m
233,Li5Mg,Amm2
234,LiMg,P-3m1
235,LiMg2,P-3m1
236,Li5Mg,P-6m2
237,Li2Mg,P-3m1
238,Li3Al2,R-3m
239,LiAl,Fd-3m
240,Li2Al,Cmcm
241,Li9Al4,C2/m
242,LiAl3,Pm-3m
243,LiAl,P6_3/mmc
244,LiAl3,I4/mmm
245,Li3Al,I4/mmm
246,LiAl,Cmce
247,Li7Si3,P3_212
248,Li13Si4,Pbam
249,Li12Si7,Pnma
250,Li15Si4,I-43d
251,Li21Si5,F-43m
252,Li7Si2,Pbam
253,Li2Si,R-3m
254,Li22Si5,F-43m
255,LiSi,I4_1/a
256,Li3P,P6_3/mmc
257,LiP,P2_1/c
258,Li3P7,P2_12_12_1
259,LiP5,Pna2_1
260,LiP7,I4_1/acd
261,Li2S,Fm-3m
262,Li2S,Pnma
263,Li2S,R3m
264,Li2S,P6_3/mmc
265,LiS,I-42m
266,LiS,I-4m2
267,LiS,Fm-3m
268,LiS4,P1
269,LiCl,P6_3mc
270,LiCl,Fm-3m
271,Li2Ca,P6_3/mmc
272,Li2Ca,Fd-3m
273,LiCu3,I4/mmm
274,LiCu3,Pm-3m
275,LiCu3,P6_3/mmc
276,LiCu3,Fm-3m
277,LiZn,Fd-3m
278,LiZn3,P6_3/mmc
279,LiZn3,Fm-3m
280,Li3Zn,Fm-3m
281,Li3Zn,I4/mmm
282,Li3Zn,P6_3/mmc
283,LiZn3,P-6m2
284,LiZn13,Fm-3c
285,Li5Ga4,P-3m1
286,Li3Ga2,R-3m
287,LiGa,Fd-3m
288,Li2Ga,Cmcm
289,Li3Ga7,R-3m
290,Li3Ga,Fm-3m
291,Li3Ga,I4/mmm
292,LiGa3,Pm-3m
293,Li2Ga7,Cm
294,LiGa3,I4/mmm
295,LiGa3,P6_3/mmc
296,Li3Ga14,R3m
297,Li9Ge4,Cmcm
298,Li15Ge4,I-43d
299,Li3Ge,Fm-3m
300,Li12Ge7,Pnma
301,Li7Ge2,Cmmm
302,Li11Ge6,Cmcm
303,LiGe,I4_1/a
304,LiGe,I4_1/amd
305,Li22Ge5,F-43m
306,Li3As,P6_3/mmc
307,Li27As10,C2/m
308,Li3As,P-3c1
309,LiAs,P2_1/c
310,Li3As7,Pbca
311,Li2Se,Fm-3m
312,LiBr,P6_3mc
313,LiBr,Fm-3m
314,LiRh,P-6m2
315,LiRh3,Imm2
316,LiRh3,I4/mmm
317,Li3Rh,P6_3/mmc
318,Li3Rh,Fm-3m
319,LiPd,P-6m2
320,LiPd,Pm-3m
321,Li2Pd,P6/mmm
322,Li3Pd,Fm-3m
323,Li3Pd,I4/mmm
324,LiPd3,Pm-3m
325,Li15Pd4,I-43d
326,LiPd7,Fm-3m
327,LiAg,Pm-3m
328,LiAg,I4_1/amd
329,Li8Ag5,I-43m
330,Li3Ag2,P4/mmm
331,Li9Ag4,Fmm2
332,Li3Ag,Fm-3m
333,Li3Ag,I4/mmm
334,Li3Ag,P6_3/mmc
335,LiAg3,I4/mmm
336,LiAg3,Pm-3m
337,LiAg3,P6_3/mmc
338,LiCd,Fd-3m
339,Li3Cd,Fm-3m
340,Li3Cd,I4/mmm
341,LiCd3,Fm-3m
342,LiCd3,P6_3/mmc
343,LiCd3,P-6m2
344,Li3Cd,R-3m
345,Li2Cd,Fd-3m
346,Li3In2,R-3m
347,Li2In,Cmcm
348,Li5In4,P-3m1
349,Li3In,Fm-3m
350,LiIn,Fd-3m
351,Li3In,I4/mmm
352,Li13In3,Fd-3m
353,LiIn3,Pm-3m
354,LiIn3,I4/mmm
355,LiIn2,Fd-3m
356,Li5Sn2,R-3m
357,Li7Sn3,P2_1/m
358,Li13Sn5,P-3m1
359,Li3Sn,Fm-3m
360,Li7Sn2,Cmmm
361,Li17Sn4,F-43m
362,Li22Sn5,F-43m
363,LiSn,P2/m
364,LiSn,I4_1/amd
365,Li2Sn5,P4/mbm
366,LiSn3,I4/mmm
367,Li3Sb,Fm-3m
368,Li3Sb,P6_3/mmc
369,Li27Sb10,C2/m
370,Li2Sb,P-62c
371,LiSb3,Pm-3m
372,Li2Te,Fm-3m
373,Li3Te,P6_3/mmc
374,LiTe3,Im-3m
375,LiTe3,P6_3/mmc
376,LiI,P6_3mc
377,LiI,P6_3/mmc
378,LiI,Fm-3m
379,BaLi4,P6_3/mmc
380,LiIr,P-6m2
381,LiIr3,Imm2
382,LiPt,P-6m2
383,Li2Pt,P6/mmm
384,LiPt2,Fd-3m
385,Li3Pt,Fm-3m
386,LiPt3,Pm-3m
387,Li3Pt,I4/mmm
388,LiPt7,Fm-3m
389,LiAu,Pm-3m
390,Li3Au,Fm-3m
391,LiAu,R-3m
392,Li3Au,I4/mmm
393,LiAu3,Pm-3m
394,LiAu3,I4/mmm
395,Li15Au4,I-43d
396,LiAu3,P6_3/mmc
397,LiHg,Pm-3m
398,Li3Hg,Fm-3m
399,Li3Hg,I4/mmm
400,Li3Hg,P6_3/mmc
401,LiHg3,P6_3/mmc
402,LiHg3,I4/mmm
403,LiHg3,Fm-3m
404,LiHg3,Pm-3m
405,Li5Tl2,R-3m
406,Li2Tl,Cmcm
407,Li3Tl,Fm-3m
408,LiTl,Pm-3m
409,LiTl,Cmce
410,LiTl3,I4/mmm
411,LiTl3,Pm-3m
412,LiTl,P6_3/mmc
413,Li8Pb3,R-3m
414,Li3Pb,Fm-3m
